course_id	skill
2954146	identifier les différentes formes de financement participatif pour l'adapter à son projet ;
2954146	sélectionner le modèle de financement et sa plateforme en fonction de son projet ;
2954146	définir les paramètres d'une campagne de financement participatif ;
2954146	rédiger le contenu d'une campagne en respectant les règles du storytelling ;
2954146	concevoir une stratégie de communication efficace de sa campagne ;
2954146	identifier les canaux de communication adaptés au projet.
5191621	Identifier l'importance du pacte d'actionnaires
5191621	Préparer un pacte d'actionnaires
5191621	Rédiger les principales clauses du pacte d'actionnaire
5191621	Identifier les clauses techniques du pacte d'actionnaires
7529386	Identifier les impacts de la transformation digitale à votre échelle ;
7529386	Adopter les méthodes du digital qui façonnent le monde du travail.
7906236	développer la performance de votre équipe ;
7906236	développer les compétences de vos collaborateurs.
5492081	identifier les risques liés à la cybersécurité
5492081	identifier les métiers de la cybersécurité
7727176	Préparer un test d’intrusion web.
7727176	Vous familiariser avec l'écosystème d’une application web.
7727176	Analyser en détail le contenu d’une application web.
7727176	Identifier les vulnérabilités spécifiques à une application web.
7727176	Restituer les résultats d’un test d’intrusion web.
6179306	identifier les principales attaques web et les règles de sécurité à adopter ;
6179306	protéger du code avec l'OWASP ;
6179306	tester et appliquer l'OWASP.
7723396	Identifier les faiblesses et les objectifs d’attaque dans l’environnement Windows.
7723396	Exploiter les chemins d’attaque sur votre environnement Windows.
7723396	Protéger et surveiller votre environnement Windows.
1946106	Identifier les types de firewalls et leurs usages
1946106	Définir des règles firewalls en fonction des besoins
1946106	Définir les protocoles à risque
1946106	Rédiger des règles firewalls
1946106	Mettre en place un VPN sécurisé
1946106	Définir une politique de sécurité simple
1757741	protéger vos fichiers avec le chiffrement symétrique ;
1757741	protéger vos données avec le chiffrement asymétrique ;
1757741	protéger vos systèmes (connexions et applications).
5870206	reconnaître des tentatives de fraude par courriel ou site Internet ;
5870206	protéger votre vie privée et votre réputation en ligne ;
5870206	utiliser différents outils de sécurisation d'un environnement numérique.
1761876	Sécuriser l'architecture de votre système d'information
1761876	Cloisonner et filtrer un réseau
1761876	Sécuriser Active Directory
1761876	Sécuriser des systèmes Windows et Linux
1761876	Sécurisez le système réseau avec OpenSSH
5162341	Élaborer un contrat en se protégeant juridiquement ;
5162341	Respecter les obligations légales liées au numérique ;
5162341	Assurer la conformité de vos pratiques au RGPD ;
5162341	Maîtriser l'environnement juridique d'un projet informatique.
1750566	Identifier les objectifs de la supervision du SI ;
1750566	Analyser des logs ;
1750566	Mettre en place un SIEM et créer des règles de détection ;
1750566	Proposer des scénarios d'attaque adaptés.
1734211	préparer une analyse de risques SI ;
1734211	mener cette analyse ;
1734211	et la faire vivre dans le temps.
1750151	récolter les informations des postes infectés par un malware ;
1750151	analyser le dump mémoire d'une machine infectée par un malware ;
1750151	analyser la copie du disque dur d'une machine infectée par un malware ;
1750151	analyser les fichiers malveillants d'une machine infectée par un malware ;
1750151	rédiger un rapport d'investigation forensic.
1734201	identifier les enjeux d'une politique de sécurité ;
1734201	rédiger le document de PSSI ;
1734201	et l'implémenter durablement au sein de votre entreprise.
1761931	Identifier les vulnérabilités d'une application web ;
1761931	Assurer la sécurité des identités des utilisateurs d'une application ;
1761931	Implémenter les outils de protection des données d'une application ;
1761931	Appliquez les principes de sécurité dès la conception d'une application.
4776036	identifier les enjeux de sécurité liés aux usages des objets connectés ;
4776036	expliquer les principes de sécurité informatique s'appliquant aux outils de production ;
4776036	expliquer les principes de sécurité informatique s'appliquant aux réseaux ;
4776036	expliquer les principes de sécurité informatique liés à l'usage des objets connectés.
6227526	identifier les enjeux de la continuité d'activité ;
6227526	préparer un plan de continuité d'activité (PCA) ;
6227526	le mettre en œuvre de façon opérationnelle.
5280946	identifier les risques liés à la gestion de données personnelles
5280946	réaliser une étude d'impact de vie privée
5280946	être sensibilisé aux techniques de sécurisation de données
5280946	évaluer la qualité d'une anonymisation de données
6204541	Mettre en place votre environnement de travail Python
6204541	Manipuler les fonctions et objets fondamentaux
6204541	Structurer votre code au sein d’un projet
6204541	Utiliser des librairies Python spécialisées
6417031	expliquer ce qu'est l'intelligence artificielle ;
6417031	identifier ses défis et ses opportunités ;
6417031	décrire scientifiquement un projet d'IA et ses sous-disciplines.
4449026	Manipuler de l’information à l’aide des différentes opérations de l’algèbre relationnelle
4449026	Appliquer les opérations de l’algèbre relationnelle aux requêtes SQL
4449026	Composer des requêtes SQL simples
4449026	Composer des requêtes SQL avancées
4011851	Resituer le Machine Learning au sein de la Data Science
4011851	Identifier les possibilités du Machine Learning
4011851	Identifier les techniques et outils du Machine Learning
4011851	Entraîner un algorithme de régression linéaire
4011851	Identifier les limites du Machine Learning
7110891	Comprendre les enjeux et les cas d’usage de l’analyse de données business, afin d’identifier vous-même les opportunités d’utiliser un outil de Business Intelligence.
7110891	Créer un dashboard sur Microsoft Power BI et reproduire les étapes de nettoyage, de modélisation et de visualisation des données sur vos propres cas d’usage.
7110891	Organiser un projet de création d’un dashboard pour éviter les pièges du projet dont on ne voit jamais le bout !
7771531	manipuler des tableaux avec NumPy ;
7771531	créer des data frames avec Pandas ;
7771531	construire des data visualisations avec Matplotlib et Seaborn.
7410486	Nettoyer un jeu de données.
7410486	Comprendre et représenter les variables.
7410486	Réaliser une analyse univariée.
7410486	Réaliser une analyse bivariée.
4525256	Mettre en place l'environnement de travail R
4525256	Utiliser les différents objets R
4525256	Sélectionner des éléments dans les objets R
4525256	Importer et exporter des données
4525256	Analyser un jeu de données
7818671	Utiliser la modélisation relationnelle.
7818671	Construire des requêtes SQL simples.
7818671	Appliquer d'autres fonctionnalités à vos requêtes SQL.
4462426	Choisir une solution NoSQL adaptée aux besoins
4462426	Faire passer à l'échelle des bases de données NoSQL
4462426	Déployer, administrer et utiliser un cluster MongoDB
4462426	Rechercher et visualiser des documents avec ElasticSearch et Kibana
4525361	Identifier les étapes de création d’un dashboard
4525361	Réaliser un dashboard avec Tableau
4525361	Réaliser un dashboard avec les langages de la programmation web
5801891	expliquer les principes de base des réseaux de neurones artificiels ;
5801891	mettre en place un modèle de Deep Learning ;
5801891	adapter les paramètres d'un modèle de Deep Learning afin de l'améliorer.
4452741	Modifier et exécuter un notebook Jupyter
4452741	Créer et installer des modules Python
4452741	Visualiser des données avec Matplotlib et Seaborn
4452741	Manipuler des tableaux avec Numpy
4452741	Manipuler un jeu de données grâce à Pandas
4525281	Appréhender les espaces vectoriels euclidiens.
4525281	Réaliser une réduction de dimension.
4525281	Interpréter une analyse en composantes principales (ACP).
4525281	Réaliser une ACP.
4525281	Utiliser un algorithme de clustering (k-means).
4525281	Réaliser une classification hiérarchique.
4525296	Comprendre les notions d'univers, événement, probabilité et probabilité conditionnelle (partie 1)
4525296	Découvrir les variables aléatoires, loi de probabilité, espérance et variance (partie 2)
4525296	Découvrir les notions de couple de variables aléatoires, covariance et corrélation linéaire (partie 3)
4525296	Appréhender la loi faible des grands nombres et le théorème central limite (partie 4)
4297166	Distribuer des calculs avec MapReduce
4297166	Utiliser Spark pour distribuer des calculs sous forme de graphes
4297166	Formaliser un problème sous forme distribuée en comprenant le concept de Resilient Distributed Dataset
4297166	Déployer, administrer et débugger une plateforme de calcul distribué avec Amazon Web Services
4525306	Comprendre la notion d’inférence.
4525306	Etablir un lien entre des observations et un modèle probabiliste.
4525306	Réaliser une estimation ponctuelle.
4525306	Calculer un intervalle de confiance pour une proportion et une moyenne.
4525306	Tester une hypothèse sur une proportion, une moyenne ou une variance.
4525306	Tester l’adéquation à une loi par un test statistique.
4525336	Concevoir un plan de rapport statistique impactant
4525336	Améliorer un rapport statistique avec les techniques rédactionnelles
4525336	Représenter graphiquement des données statistiques
4467491	Choisir des outils appropriés pour stocker, traiter et diffuser des mégadonnées
4467491	Définir le cahier des charges des différents composants d'une architecture big data
4467491	Décrire et concevoir une lambda architecture pour le big data
4297211	Choisir une ou plusieurs mesures de la performance d'un algorithme d'apprentissage supervisé, adaptées à la question posée
4297211	Mettre en place une procédure de validation qui réduise le risque de sur-apprentissage (séparation du jeu d'apprentissage et de validation, validation croisée)
4297211	Mettre en place une procédure de grille de recherche (grid search) pour choisir les hyperparamètres d'un algorithme
4379436	Comprendre à quelles questions un algorithme d’apprentissage non supervisé permet de répondre.
4379436	Utiliser les principaux algorithmes de réduction de dimension non supervisés classiques (ACP, analyse factorielle, factorisation de matrice non négative, MDS, t-SNE).
4379436	Choisir un algorithme de réduction de dimension non supervisé en fonction de vos besoins et des caractéristiques des données.
4379436	Utiliser les principaux algorithmes de clustering (k-means, DBSCAN, clustering hiérarchique).
4379436	Choisir un algorithme de clustering en fonction de vos besoins et des caractéristiques des données.
4470531	Pré-traiter les images avec les techniques du traitement d'images (améliorer la luminosité, éliminer le bruit...)
4470531	Comprendre la notion de features d'une image
4470531	Maîtriser les méthodes les plus courantes d'extraction de features, en particulier l'algorithme SIFT
4470531	Classifier des images avec les algorithmes de l'apprentissage supervisé
4470531	Classifier des images avec les réseaux de neurones convolutifs (Deep Learning), en particulier avec la technique de Transfer Learning
4470531	Maîtriser la bibliothèque Keras, qui permet de faire du Deep Learning en Python
4470541	Effectuez un pré-traitement de corpus de texte
4470541	Maîtrisez les techniques de bag-of-words et de plongements de mots (word embeddings)
4470541	Modélisez des sujets de manière non-supervisée (LDA, etc.)
4470541	Classer des corpus de texte avec des méthodes supervisées (réseaux de neurones)
4525326	Appliquer et interpréter une régression linéaire simple
4525326	Appliquer et interpréter une régression linéaire multiple
4525326	Appliquer et interpréter une régression logistique
4525326	Appliquer et interpréter une analyse de la variance (ANOVA)
4444646	Entraîner un algorithme linéaire de classification binaire ou multiclasse ou de régression,
4444646	Contrôler les poids affectés aux différentes variables par un mécanisme de régularisation,
4444646	Comprendre les points communs et différences entre SVM et régression linéaire/logistique.
4525371	Découvrir différentes séries temporelles
4525371	Comprendre la problématique posée par le lien temporel
4525371	Corriger une série temporelle des variations saisonnières
4525371	Mettre en œuvre des techniques simples pour prévoir une série temporelle
7693881	Mettre en place une bonne gouvernance de vos données.
7693881	Sécuriser juridiquement et techniquement vos données.
7693881	Évaluer les résultats d'une bonne gouvernance de vos données.
5919236	mettre en place les outils nécessaires à la science des données ;
5919236	exécuter une analyse exploratoire multidimensionnelle ;
5919236	expliquer la démarche et les enjeux de la classification supervisée ;
5919236	entraîner un algorithme de classification supervisée ;
5919236	expliquer l'évolution de l’IA ;
5919236	entraîner un algorithme d’apprentissage profond.
4451251	Comprendrez le rôle et les enjeux du temps réel dans les problèmes de Big Data
4451251	Saurez déployer une plateforme de gestion de messages
4451251	Serez en mesure de déployer une solution de traitement de données temps réel
4467481	Concevoir un data lake
4467481	Stocker des quantités massives de données avec HDFS
4467481	Représenter des données semi-structurées avec Avro
4467481	Mettre en place des outils d’analyse de données par lot
4470406	Utiliser des noyaux pour étendre des méthodes linéaires (SVM, régression ridge) à des cas non-linéaires ;
4470406	Comprendre le fonctionnement du perceptron ;
4470406	Appréhender les réseaux de neurones multi-couches et la backpropagation.
5264666	décrire la démarche et la méthodologie de l'apprentissage statistique,
5264666	mettre en place un modèle d'apprentissage statistique adapté à son besoin,
5264666	mettre en œuvre des modèles d'apprentissage statistiques.
4470521	Combiner différents algorithmes afin d’optimiser les performances de votre modèle global
4470521	Utiliser les méthodes parallèles telles que le bagging ou les forêts aléatoires
4470521	Utiliser les méthodes séquentielles telles que le boosting
5098641	Décrire le processus de prise de décision autonome par un drone
5098641	Modéliser la prise de décision par un drone
5098641	Décrire les principes l'apprentissage par renforcement profond
5098641	Mettre en œuvre l'apprentissage par renforcement profond avec un drone
7231661	Communiquer et travailler avec des UX designers
7231661	Maîtriser les principes et les étapes de la démarche Design Thinking
7231661	Intégrer le design thinking dans vos projets professionnels
3013856	Communiquer et travailler avec des UX designers
3013856	Identifier les éléments incontournables de l'expérience utilisateur (persona, usabilité, affordance…)
3013856	Procéder à une recherche utilisateur pertinente
3013856	Connaître les spécificités de l'expérience utilisateur liées au mobile
3013856	Mobiliser les bonnes pratiques de prototypage en s'adaptant aux changements de la société
3013856	Concevoir un produit en prenant en compte les besoins et les contraintes
3013856	Utiliser les outils de zoning, de maquettage et d'interaction les plus adéquats
3013856	Conduire une séance de test utilisateur
2583216	Comprendre l'intérêt et les possibilités qu'offre le logiciel.
2583216	Préparer votre espace de travail de façon ordonnée.
2583216	Mettre en pratique plusieurs techniques de dessin.
2583216	Elaborer des formes complexes.
2583216	Créer des illustrations en flat design, des logos et autres visuels.
2583216	Enregistrer vos créations au format adapté.
6691346	comprendre ce qu'est l'inclusion numérique ;
6691346	évaluer les obstacles à l'accessibilité sur le Web ;
6691346	concevoir des contenus web accessibles.
5238041	expliquer les techniques principales pour générer des idées ;
5238041	utiliser des outils de représentation visuelle pour communiquer vos idées clairement ;
5238041	identifier comment structurer vos propos pour passer un message convaincant à vos interlocuteurs ;
5238041	expliquer des méthodes de storytelling et de narration pour affiner et communiquer un message précis ;
5238041	créer des supports de présentation avec un aspect professionnel et esthétique ;
5238041	mobiliser les techniques de storytelling et de narration pour engager une audience.
5454886	Comprendre l'utilité d'une charte graphique ;
5454886	Créer une charte graphique ;
5454886	Appliquer une charte graphique existante.
3938146	Mener des entretiens utilisateur approfondis
3938146	Définir des personas à partir des profils utilisateur
3938146	Réaliser le storyboard de l'expérience utilisateur d'un projet
3938146	Développer votre créativité grâce à l'usage d'un mood board
3938146	Concevoir un logo à la main et le finaliser avec Adobe Illustrator
3938146	Dessiner les wireframes pour un site web responsive (version mobile et desktop)
3938146	Retoucher un visuel pour le web avec Adobe Photoshop
3938146	Mener plusieurs types de tests utilisateur
3938146	Créer un prototype papier pour une application mobile
3014016	Concevoir la maquette graphique d'une application mobile
3014016	Mobiliser les bonnes pratiques pour travailler efficacement
3014016	Intégrer les éléments UI de base à une maquette
3014016	Concevoir un chemin de navigation avec différents niveaux de profondeur
3014016	Appliquer les bonnes pratiques en matière d'usabilité
3014016	Rendre une maquette interactive
3014016	Partager une maquette pour procéder à des tests utilisateurs
5249081	Détailler les parcours utilisateurs en mobilisant les différentes méthodes d’UX mapping
5249081	Identifier les besoins des utilisateurs en mobilisant les cartes d’empathie et d’expérience
5249081	Évaluer l’impact sur les processus et l’organisation avec le service Blueprint
5248811	Identifier les apports de la psychologie pour le design
5248811	Reconnaître les principes de l’organisation spatiale et la perception visuelle pour mieux concevoir des supports
5248811	Prendre en compte les perceptions des utilisateurs pour anticiper les usages
5248811	Identifier comment se servir des représentations mentales pour concevoir des interfaces adaptées
5248811	Démontrer comment mobiliser les principes de l’attention et d’engagement pour motiver vos utilisateurs
5249006	Utiliser des méthodes UX pour générer des idées de conception
5249006	Organiser le contenu des écrans à partir des écrans types d’un parcours utilisateur
5249006	Concevoir des wireframes pour plusieurs formats
5249006	Concevoir un prototype cliquable à faire tester
5248981	Identifier les avantages & inconvénients de l'audit UX ;
5248981	Décrire les pré-requis et phases d’un audit UX ;
5248981	Identifier les grilles d’évaluation pertinentes pour auditer l'utilisabilité d’une interface ;
5248981	Suivre les étapes pour mener une analyse organisée et documentée ;
5248981	Reconnaître des éléments essentiels à intégrer dans un rapport d’audit complet ;
5248981	Identifier comment présenter les optimisations à apporter au service dans un plan d’action détaillé.
5192236	Identifier des arguments pour justifier l'intérêt de la recherche utilisateur
5192236	Identifier des étapes et méthodes de préparation essentiels pour mener une étude utilisateur
5192236	Distinguer les méthodes à employer en fonction du contexte
5192236	Être conscient du savoir-être à adopter lors d'un entretien
5192236	Savoir employer des techniques de recherche utilisateur
5192236	Analyser les usages réels et les synthétiser
5192236	Restituer les points saillants de l’étude dans un support de présentation (personas, UX maps)
5249021	Expliquer la méthodologie de l’Atomic Design et ses avantages.
5249021	Identifier les méthodes pour créer et partager des composants graphiques de l'interface.
5249021	Utiliser l’atomic design pour créer un style guide.
3936801	Mobiliser une culture de base en design d'interface utilisateur
3936801	Maîtriser les principes fondateurs du Material Design
3936801	Concevoir la maquette d'une interface utilisateur en Material Design
3936801	Utiliser le framework Materialize CSS pour créer des pages web en Material Design
3936801	vidéo : Les vidéos sont relativement courtes mais couvrent l'ensemble des notions clés du cours.
3936801	texte : Le texte va plus loin dans le détails, vous y trouverez souvent des exemples, des anecdotes et des définitions plus exhaustives.
5248881	Choisir la métrique adaptée à son besoin UX
5248881	Collecter des données sur les utilisateurs avec les outils adaptés
5248881	Créer des datavisualisations simples et efficaces
5249071	Expliquer les principes, étapes et impacts du design thinking
5249071	Comprendre et accompagner un client dans sa démarche UX
5249071	Appliquer la méthodologie de l’UX Business Model Canvas dans un contexte agile
5249071	Décrire les éléments d'une proposition de valeur unique et viable
1603881	Maîtriser les bases de HTML5.
1603881	Faire de la mise en forme avec CSS3.
1603881	Agencer le contenu des pages.
1603881	Utiliser des fonctionnalités avancées de HTML et CSS.
7168871	Créer des données avec Python.
7168871	Gérer la logique de programmation dans Python.
7168871	Extraire des données du web avec Python et certains de ses packages.
6175841	Utiliser les données et les types de données dans JavaScript.
6175841	Gérer la logique d'un programme en JavaScript (conditions, boucles et erreurs).
6175841	Écrire du code propre et facile à maintenir à l'aide de méthodes en JavaScript.
1946386	Définir le web et ses origines
1946386	Distinguer les différents langages du Web
1946386	Décrire le fonctionnement du réseau
1946386	Identifier plusieurs métiers du web
6173491	découvrir les bases du terminal ;
6173491	manipuler des fichiers avec un terminal.
7162856	installer et configurer Git et GitHub ;
7162856	utiliser les commandes de base de Git ;
7162856	corriger les erreurs courantes sur GitHub.
6173501	gérer les variables d’un programme en Java ;
6173501	utiliser les principes de programmation orientée objet en Java ;
6173501	utiliser des principes avancés en Java.
19980	faire vos premiers pas avec le langage C ;
19980	mobiliser les notions de base pour organiser votre code ;
19980	manipuler les pointeurs et les tableaux ;
19980	utiliser les pointeurs pour programmer comme un pro ;
19980	structurer vos données.
918836	Faire vos premiers pas en PHP.
918836	Réaliser un site web dynamique.
918836	Transmettre des données de page en page.
918836	Stocker des informations dans une base de données.
4366701	Mettre en œuvre un algorithme simple.
4366701	Sélectionner les bonnes méthodes pour résoudre un problème.
4366701	Utiliser les notions basiques en programmation : variables, fonctions, boucles et structures conditionnelles.
4366701	Manipuler les structures de données essentielles : tableaux, listes chaînées, tables de hachage...
4366701	Créer des fonctions récursives.
4366701	Calculer la complexité d’un algorithme.
1894236	Faire vos premiers pas et mobiliser les notions de bases du C++ (variables, conditions, boucles),
1894236	Manipuler des notions avancées du C++ (fonctions, tableaux, pointeurs).
7008001	comprendre le fonctionnement de React ;
7008001	créer une application React complète avec Create React App ;
7008001	stocker et récupérer des données avec le state et les effets.
5489551	mettre en ligne WordPress sur un hébergeur ;
5489551	prendre en main l’administration WordPress ;
5489551	configurer le thème et les extensions d’un site WordPress ;
5489551	personnaliser les contenus et le design d’un site WordPress ;
5489551	optimiser la configuration d’un site WordPress.
7471261	créer une application Angular
7471261	construire des components Angular
7471261	structurer un document avec les directives
7471261	modifier l'affichage des données avec les pipes
7471261	améliorer la structure de votre application avec les services et le routing
6971126	Créer votre base de données avec MySQL.
6971126	Manipuler vos données avec les opérations CRUD.
6971126	Effectuer des requêtes SQL avancées.
6971126	Transformer la structure d’une base de données.
5543061	Récupérer et modifier des éléments du DOM ;
5543061	Capter les événements du DOM ;
5543061	Communiquer avec un service web ;
5543061	Utiliser des méthodes asynchrones ;
5543061	Utiliser un environnement de développement.
6573181	utiliser des API REST pour vos projets de code ;
6573181	formuler des requêtes et envoyer des réponses avec une API REST ;
6573181	concevoir des API REST.
6390246	créer un serveur web simple avec Express ;
6390246	créer une API REST avec Node, Express et MongoDB ;
6390246	mettre en place un système d'authentification sur une application Express ;
6390246	gérer des fichiers utilisateur sur une application Express.
4517166	Créer votre première application.
4517166	Étendre les fonctionnalités de votre application.
4517166	Perfectionner votre application.
7150616	Écrire des méthodes et des classes avec Python.
7150616	Utiliser le comportement hérité dans un programme Python.
7150616	Structurer votre code dans un programme Python.
6900101	identifier pourquoi et quand utiliser Spring Boot ;
6900101	identifier les étapes clés de tout projet Spring Boot ;
6900101	créer une API avec Spring Boot ;
6900101	créer une application web avec Spring Boot.
7137751	faire vos premiers pas et mobiliser les bases de la programmation orientée objet ;
7137751	utiliser la bibliothèque standard ;
7137751	poursuivre votre apprentissage du C++ en toute autonomie !
6106181	structurer et organiser votre code ;
6106181	créer du code maintenable grâce aux techniques Sass intermédiaires ;
6106181	optimiser votre code en utilisant les techniques avancées de Sass.
5489656	Expliquer les éléments fondamentaux du framework Symfony
5489656	Rédiger un code propre et facilement utilisable par d'autres développeurs
5489656	Développer un programme Symfony fonctionnel
5489656	Utiliser Doctrine ORM pour la gestion de bases de données
5489656	Utiliser le moteur de template Twig pour la gestion des vues
7150606	construire une Single Page Application complète qui respecte une architecture robuste ;
7150606	maîtriser les hooks ;
7150606	tester votre application React ;
7150606	évoluer dans une codebase qui utilise des composants classe.
6938711	Analyser vos données pour choisir le type de base de données approprié.
6938711	Créer le diagramme de classe UML de votre base de données.
6938711	Déterminer le modèle relationnel de votre base à partir de votre diagramme UML.
7542506	identifier les cas d’usage de Bootstrap ;
7542506	créer des mises en page responsives ;
7542506	afficher du contenu avec les composants d'interface utilisateur ;
7542506	ajouter de l'interactivité à un site web ;
7542506	créer des fonctionnalités et des thèmes personnalisés à l'aide de Bootstrap.
1665806	Utiliser des objets
1665806	Structurer des objets avec l’héritage
1665806	Agencer votre code
7172076	Poser les bases d’une application Django en utilisant des modèles, des vues et des gabarits.
7172076	Gérer des données stockées dans une base de données à l'aide du site d'administration de Django.
7172076	Construire une interface CRUD dans Django.
6817086	situer le métier de développeur dans l'entreprise ;
6817086	différencier les responsabilités de chaque spécialité de développeur ;
6817086	évoluer en tant que développeur.
5919246	réaliser vos premières animations CSS ;
5919246	maîtriser les translations, les rotations et l’opacité ;
5919246	réaliser des animations dynamiques.
4670706	Isoler le modèle et la vue dans un code PHP
4670706	Factoriser votre code dans une architecture MVC
4670706	Passer à une architecture MVC orientée objet
7697016	Créer une interface web à partir de données existantes ;
7697016	Rendre votre page web interactive ;
7697016	Interagir avec un service web à l’aide d’une API HTTP ;
7697016	Enrichir vos pages web grâce aux librairies.
6106191	Identifier les outils nécessaires pour coder en Java ;
6106191	Utiliser Eclipse pour coder, tester et structurer vos projets Java ;
6106191	Contribuer à un projet open source avec Eclipse.
7342806	Structurer un wireframe sur papier
7342806	Construire un wireframe avec Figma
7342806	Créer une maquette avec Figma
5647281	Identifier les besoins utilisateurs avec la méthode de Domain-Driven Design ;
5647281	Formaliser les besoins des utilisateurs dans un modèle de domaine.
6739646	Découvrir le rôle de la documentation projet
6739646	Préparez un cahier des charges fonctionnel
6739646	Utiliser la méthodologie agile pour communiquer la portée d'un projet
6951236	Gérer des paquets Python à l'aide de pip  .
6951236	Créer un environnement virtuel Python à l'aide de virtualenv.
6951236	Configurer un projet dans un IDE à l'aide de PyCharm.
6390311	construire une application Vue.js ;
