path_id	skill
512	résoudre des problèmes dans un contexte de logiciel Salesforce ;
512	construire des applications sur la plateforme Salesforce, en utilisant Lightning et Apex ;
512	déployer des applications avec Heroku.
513	Analyser un cahier des charges et choisir une solution technique adaptée parmi les solutions existantes.
513	Concevoir l’architecture technique d’une application à l’aide de diagrammes UML.
513	Créer des application web dynamiques grâce à Java.
513	Communiquer avec une base de données pour stocker et requêter des informations.
513	Développer de manière professionnelle grâce au framework Spring.
513	Mettre en œuvre des tests unitaires et fonctionnels.
513	Utiliser les outils les plus connus d’intégration continue.
513	Produire une documentation technique et fonctionnelle de l’application.
516	Choisir une solution technique adaptée à votre client et travailler en mode Agile ;
516	Créer des sites webs avec HTML et CSS ;
516	Créer des applications web dynamiques avec Javascript et React ;
516	Communiquer avec le back-end de l’application grâce à une API ;
516	Mettre en œuvre des test unitaires et d’intégration et débugger le code ;
516	Résoudre des problèmes techniques avec un langage de programmation et des algorithmes ;
516	Refactoriser du code pour qu’il soit plus moderne et optimisé.
518	Mettre en place votre environnement de développement en utilisant les environnements virtuels et PyCharm.
518	Créer des applications web en utilisant les frameworks Django et Django REST.
518	Développer une base de données PostgreSQL sécurisée.
518	Améliorer des applications en les testant, en les débugant et en les remaniant.
518	Utiliser des technologies comme GitHub, Postman, HTML, CSS, JavaScript ou encore CircleCI.
163	Définir et partager une vision stratégique en créant une roadmap produit ;
163	Etablir les véritables besoins de vos clients et les hiérarchiser dans un backlog produit, soit une liste priorisée des fonctionnalités du produit à implémenter ;
163	Accompagner les équipes de développeurs pendant la production en respectant les principes de gestion de projet agile ;
163	Coordonner la release et les efforts d’optimisation pour les fonctionnalités à haute valeur ajoutée.
80	Réaliser des études de marché pour informer des décisions stratégiques
80	Élaborer et piloter des campagnes de notoriété
80	Formaliser une stratégie éditoriale pour structurer la prise de parole en ligne
80	Rédiger des contenus marketing en respectant un discours de marque
80	Définir et répartir un budget de communication
80	...
80	Élaborer et piloter des campagnes d'acquisition
80	Qualifier une audience-cible pour prioriser des actions 
80	Établir une stratégie de référencement naturel et payant
80	Optimiser une landing-page pour la conversion
80	Réaliser des post-tests pour optimiser des actions marketing
80	....
80	Gérer des projets marketing 
80	Et tout ce dont vous aurez besoin pour réussir dans ce métier
81	Elaborer et superviser l'exécution d'une stratégie marketing
81	Mettre en place un système d'information marketing et communication (SIM/SIC)
81	Réaliser un audit marketing
81	Concevoir et mettre en oeuvre une stratégie de communication
81	Créer et gérer une marque (BtoC, BtoB, employeur, personnelle)
81	Gérer la communication interne d'une organisation
336	Animer une communauté avec un discours de marque.
336	Créer du contenu simple et dynamique sur les réseaux sociaux.
336	Gérer une campagne publicitaire sur les réseaux sociaux.
336	Élaborer une stratégie Social Media.
336	Gérer la communication avec des influenceurs.
336	Réaliser un audit d'e-réputation.
336	Organiser un événement live sur les réseaux sociaux.
82	Analyser le secteur d'activité et le public-cible pour répondre aux besoins réels du métier.
82	Définir des objectifs pédagogiques sous forme de compétences à acquérir.
86	d’élaborer votre séquence au sein d'un dispositif pédagogique existant, en comprenant votre public ainsi que les attentes de votre organisme de formation ;
86	de préparer une séance de formation avec méthode, car une bonne préparation est la clé d'une intervention réussie ;
86	d’animer une séance de formation avec différentes modalités pédagogiques, afin de booster l'engagement de vos apprenants ;
93	Accompagner le salarié dans la gestion des évènements privés impactant, ou impactés par, sa vie professionnelle
93	Répercuter les changements de situation d'un salarié pour assurer la conformité entre les réglementations en vigueur, le contrat de travail et le bulletin de salaire
93	Gérer les avantages individuels et collectifs
93	Savoir ajuster les éléments de paie impactés par l'activité du salarié
93	Pouvoir intégrer les éléments variables de rémunération
93	Contrôler les états de paie avant envoi au client (interne ou externe) pour validation
93	Editer les bulletins et procéder au versement des salaires 
93	Paramétrer le plan de paie dans le logiciel pour garantir l'exactitude et la conformité des calculs
93	Assurer le reporting social et RH
93	Elaborer mensuellement le fichier DSN
93	Savoir exercer une veille sociale
87	Intégrer le digital RH dans vos différentes missions
87	Analyser des besoins en recrutement
87	Rédiger et diffuser des offres d'emploi notamment sur le web 
87	Sélectionner des candidatures et mener un entretien de recrutement
87	Préparer l'accueil des nouveaux recrutés et faire le lien avec les différents services
87	Organiser les élections des délégués du personnel
87	Préparer et vérifier la paie
87	"Créer et documenter les dossiers individuels des salariés, ""nourrir"" le SIRH"
87	Concevoir et gérer des actions de qualité de vie au travail (sécurité et santé)
87	"Contribuer à la qualité de la marque employeur, animer des réseaux sociaux ""entreprise"""
87	Participer à des projets de Gestion Prévisionnelle des Emplois et des Compétences
87	Gérer et mettre en oeuvre le plan de formation
87	Rédiger une proposition de formation intégrant un rétro-planning, des objectifs de formation ... 
87	Organiser des formations et veiller au bon déroulement des stages
87	Concevoir des outils d'évaluation des formations
143	Établir un cadre pour votre action professionnelle
143	Accueillir et évaluer les besoins d'une personne accompagnée
143	Co-construire l'accompagnement individualisé
143	Gérer les situations d'accompagnement complexes
143	Réaliser des ateliers d'évolution professionnelle
559	Concevoir une stratégie de recrutement
559	Gérer l'administration du personnel
559	Définir une politique de rémunération
559	Développer le dialogue social
559	Manager une équipe RH
559	Développer une politique de gestion des compétences
559	Piloter la stratégie RH de l'entreprise
561	Maîtriser les évolutions des dispositifs réglementaires et de financement applicables à l’entreprise
561	Identifier les modalités mobilisables selon le contexte de l’entreprise
561	Recenser les besoins de formation
561	Traduire les besoins en formation
561	S’approprier les enjeux et projets de l’entreprise pour anticiper les besoins
561	Comprendre l’actualité et les évolutions de l’entreprise, du secteur…
561	Elaborer un référentiel métier
561	Conduire un diagnostic de compétences
561	Concevoir des actions et ressources pédagogiques
561	Maîtriser les techniques d’animation pour gérer un groupe en face à face
561	Proposer des dispositifs de professionnalisation intégrant les outils et méthodes liés à la digitalisation
561	Maîtriser les règles des processus d’achat et appels d’offres
561	Choisir et mettre en œuvre le système d’évaluation
561	Conduire un projet et accompagner le changement 
102	Définir et mettre en œuvre la politique de sécurité
102	Procéder à un audit des systèmes d'information et préconiser des évolutions
102	Gérer les risques de l'entreprise dans le respect des réglementations (GDPR…)  
102	Conduire et accompagner des projets de sécurité des SI
102	Mettre en place des techniques de sécurité afin de détecter des intrusions
102	Organiser les processus de traitement et de gestion des incidents
102	Mettre en œuvre le processus forensic
102	Sécuriser les infrastructures réseaux et systèmes et les applications web
102	Développer et promouvoir la politique auprès de tous les acteurs
406	Mettre en place, administrer, sécuriser des systèmes Linux et Windows dans une infrastructure complexe
406	Mettre en place et administrer une architecture réseaux complexe (Réseaux filaires et sans fil)
406	Mettre en œuvre une politique de sauvegarde, de gérer et récupérer des données informatiques
406	Auditer la sécurité des systèmes d'information
406	Sécuriser un système d'information et préconiser des bonnes pratiques de sécurité
406	Répondre à des demandes complexes des utilisateurs
406	Mettre en œuvre un plan de continuité des activités
406	Superviser le fonctionnement des équipements informatiques
406	Piloter un projet d’évolution du SI
558	Monter un poste de travail répondant aux besoins de l'utilisateur
558	Installer un poste de travail utilisateur et des périphériques (Windows et Linux)
558	Installer du matériel et des périphériques sur une infrastructure d'entreprise (Windows)
558	Configurer des logiciels d'entreprise
558	Fournir une assistance informatique 
558	Accompagner les utilisateurs sur les outils et la sécurité informatique
558	Surveiller la disponibilité d'un serveur
558	Gérer le stock d'un parc informatique
558	Installer et paramétrer un système d’exploitation Serveur (Windows et Linux)
558	Gérer les droits d’accès aux données dans le respect de la stratégie de sécurité
172	Winning support for a digital transformation project.
172	Reinventing business models that are redefining value creation and customer relationships.
172	Structuring data collection to become a data-driven organization.
172	Describing the potential of disruptive technologies (IoT, blockchain, cloud, robotics, IA...).
172	Leading an overhaul of the skills needed by the people in an organization.
167	Apply Data Science basics, such as collecting and preparing data
167	Build Machine Learning and Deep Learning algorithms
167	Build models using Microsoft Azure services
167	Deploy algorithms into production in the cloud
167	Oversee the design of an AI product
146	Perform database searches using SQL queries to retrieve relevant data.
146	Transform data into valuable information.
146	Create informative data visualizations.
146	Create dashboards and reports to facilitate the decision making process.
146	Apply key mathematical concepts for data analysis.
76	Carry out different research methodologies
76	Inform design decisions through research
76	Prototype concepts
76	Solve complex problems
76	Design experiences and solutions that meet customer needs
76	Test iterations on real users
76	Effectively communicate design decisions
76	Collaborate across teams and projects 
555	translating graphical mock-ups into web pages in HTML and CSS
555	integrating text, image, animation, video, and sound content on the web
555	optimizing the performance and compliance of web pages
555	establishing communication between the interface and server with JavaScript 
555	developing simple web applications from user requirements specifications
411	Communicating with clients and other stakeholders
411	Coordinating a development team
411	Evaluating the scope of a project
411	Analyzing an existing software architecture 
411	Defining the structure and behavior of applications and their interactions
411	Validating new architectural solutions
411	Managing implementation and delivery of software architecture
506	creating customized applications and improving existing ones
506	designing technical architecture and building or optimizing a database
506	analyzing customer needs and advocating for suitable technical solutions
506	writing technical and functional documentation 
506	automating business tasks
506	keeping up with changes in Salesforce tools and software products
507	Create iPhone/iPad applications using Swift and Xcode
507	Make your mobile applications look great
507	Architect and implement the UI, animations, and interactions according to a design specification
507	Utilize local data storage
507	Ensure compliance with Apple submission requirements
507	Integrate applications with remote resources
507	Perform integration and testing of the apps with existing systems
507	Produce functional and technical documentation for each project
507	Apply best programming practices to ensure high-performance products
507	Analyze a new project and choose a technical solution
507	Design technical architecture using UML diagrams
508	Create Android applications based on Java and the development environment Android Studio
508	Communicate with a database to store and retrieve information
508	Write unit and integration tests, as well as interface tests
508	Produce technical and functional documentation of an application
508	Use a network to retrieve information
508	Understand and apply Design Patterns to ensure application stability
508	Analyze a project brief and choose a technical solution 
508	Create technical architecture using UML diagrams
508	Respect Material Design recommendations in order to provide the best user experience possible
509	Build a site backend in programming languages such as Ruby
509	Use front-end libraries or frameworks
509	Manage application deployment and put projects on servers
509	Perform sysadmin tasks
509	Run SQL queries on databases
510	developing and improving an application software 
510	designing technical architecture 
510	implementing software tests and debugging code
510	producing the design schema of a database
510	writing technical and functional documentation 
510	analyzing customer needs
510	selecting and advocating for suitable technical solutions
510	keeping up with changes in technologies
514	Set up your development environment using virtual environments and PyCharm.
514	Create web applications using the Django and Django REST frameworks.
514	Develop a secure PostgreSQL database.
514	Enhance applications with testing, debugging, and refactoring.
514	Use technologies like GitHub, Postman, HTML, CSS, JavaScript, and CircleCI.
515	developing and improving an application software 
515	designing technical architecture 
515	implementing software tests and debugging code
515	producing the design schema of a database
515	writing technical and functional documentation 
515	analyzing customer needs
515	selecting and advocating for suitable technical solutions
515	keeping up with changes in technologies
517	Setup your development environment.
517	Implement a responsive layout with HTML5 and CSS3.
517	Ensure the accessibility of a website.
517	Create dynamic web applications with Javascript, React and APIs.
517	Ensure data quality in a web application through testing.
517	Contribute to a code project using agile methodology...
162	Define and share a strategic vision by creating a product roadmap
162	Discover the true needs of your customers and prioritize them in a product backlog
162	Support teams of software engineers in production efforts, sticking to agile project management principles
162	Coordinate the release and optimization efforts of high value product features 
539	Analyze a client’s needs
539	Document a digital project for its delivery and continual improvement
539	List action points to remove, minimize or eliminate risks
539	Mobilize technical, design and marketing skills to lead a digital project
539	Streamline the division of tasks among team members
539	Plan for test and quality assurance processes
539	Ensure quantitative and qualitative project reporting
539	As well as many other skills you will master!
287	Determine the most effective social media channels for a brand.
287	Create a paid online advertising campaign.
287	Report on the effectiveness of a campaign and goal conversions.
287	Develop an editorial calendar.
287	Create an emailing strategy.
287	Write copy in the brand's tone of voice.
144	Help clients determine their assets and use them to develop ambitious career objectives
144	Review and offer constructive criticism on job search marketing materials, such as resumes, profiles, etc.
144	Build a network of contacts, recruiters and other professionals to share with clients
144	Lead workshops on career transition topics
144	Implement the steps to establish a career coaching practice
144	Attract and retain clients and referrals
347	Set up a computer to meet a user's needs.
347	Install hardware and software in a company’s infrastructure.
347	Back up a user’s computer.
347	Provide IT assistance following an established procedure.
347	Provide support to users on IT tools and security.
347	Monitor the availability of a server.
347	Manage interactions with IT service providers.
347	Manage IT inventory.
347	Advocate solutions to improve IT equipment.
